ite	H	Cor	T	Sc	Top(cm)	Bot(cm)	Depth (mbsf)	WW (%)	WD (%)	BD (g/cc)	DD (g/cc)	GD (g/cc)	PO (%)	VR    	Method	Comments

202	1232	A	  7	H	 5	  74.0	  76.0	      62.280	  28.8	  40.4	    1.857	    1.323	    2.765	  52.2	 1.090	     C	        
202	1232	A	  7	H	 6	  20.0	  22.0	      63.250	  32.6	  48.5	    1.779	    1.198	    2.769	  56.7	 1.310	     C	        
202	1232	A	  7	H	 6	  74.0	  76.0	      63.790	  32.8	  48.9	    1.745	    1.172	    2.662	  56.0	 1.270	     C	        
202	1232	A	  8	H	 1	  74.0	  76.0	      65.740	  30.0	  42.9	    1.824	    1.277	    2.743	  53.4	 1.148	     C	        
202	1232	A	  8	H	 2	  74.0	  76.0	      67.250	  28.3	  39.4	    1.856	    1.332	    2.730	  51.2	 1.050	     C	        
202	1232	A	  8	H	 3	  74.0	  76.0	      68.760	  33.8	  51.1	    1.757	    1.163	    2.771	  58.0	 1.382	     C	        
202	1232	A	  8	H	 4	  74.0	  76.0	      70.270	  30.4	  43.7	    1.816	    1.264	    2.745	  54.0	 1.173	     C	        
202	1232	A	  8	H	 5	  74.0	  76.0	      71.790	  37.2	  59.3	    1.687	    1.059	    2.738	  61.3	 1.585	     C	        
202	1232	A	  8	H	 6	  74.0	  76.0	      73.310	  24.5	  32.4	    1.954	    1.476	    2.768	  46.7	 0.876	     C	        
202	1232	A	  8	H	 7	  20.0	  22.0	      74.290	  31.0	  45.0	    1.799	    1.241	    2.730	  54.5	 1.200	     C	        
202	1232	A	  9	H	 1	  74.0	  76.0	      75.240	  49.3	  97.3	    1.497	    0.759	    2.719	  72.1	 2.584	     C	        
202	1232	A	  9	H	 2	  74.0	  76.0	      76.740	  35.4	  54.7	    1.728	    1.117	    2.770	  59.7	 1.481	     C	        
202	1232	A	  9	H	 3	  74.0	  76.0	      78.250	  38.2	  61.8	    1.667	    1.030	    2.723	  62.2	 1.643	     C	        
202	1232	A	  9	H	 3	  86.0	  88.0	      78.370	  31.7	  46.4	    1.792	    1.224	    2.748	  55.4	 1.245	     C	        
202	1232	A	  9	H	 4	  74.0	  76.0	      79.760	  30.7	  44.3	    1.809	    1.254	    2.741	  54.3	 1.186	     C	        
202	1232	A	  9	H	 5	  74.0	  76.0	      81.270	  29.6	  42.1	    1.836	    1.293	    2.756	  53.1	 1.133	     C	        
202	1232	A	  9	H	 6	  74.0	  76.0	      82.780	  32.5	  48.2	    1.768	    1.193	    2.720	  56.1	 1.279	     C	        
202	1232	A	 10	H	 1	  74.0	  76.0	      84.740	  31.2	  45.3	    1.804	    1.242	    2.754	  54.9	 1.218	     C	        
202	1232	A	 10	H	 2	  74.0	  76.0	      86.250	  32.5	  48.1	    1.797	    1.214	    2.821	  57.0	 1.324	     C	        
202	1232	A	 10	H	 3	  74.0	  76.0	      87.770	  21.6	  27.6	    2.018	    1.582	    2.756	  42.6	 0.742	     C	        
202	1232	A	 10	H	 4	  74.0	  76.0	      89.280	  29.4	  41.7	    1.832	    1.293	    2.730	  52.7	 1.112	     C	        
202	1232	A	 10	H	 5	  74.0	  76.0	      90.800	  43.5	  77.1	    1.584	    0.894	    2.738	  67.3	 2.062	     C	        
202	1232	A	 10	H	 6	  74.0	  76.0	      92.310	  33.6	  50.5	    1.759	    1.168	    2.760	  57.7	 1.362	     C	        
202	1232	A	 11	H	 1	  74.0	  76.0	      94.240	  36.8	  58.3	    1.696	    1.071	    2.745	  61.0	 1.562	     C	        
202	1232	A	 11	H	 2	  74.0	  76.0	      95.750	  36.5	  57.4	    1.723	    1.094	    2.833	  61.4	 1.589	     C	        
202	1232	A	 11	H	 3	  74.0	  76.0	      97.250	  36.0	  56.3	    1.712	    1.095	    2.753	  60.2	 1.513	     C	        
202	1232	A	 11	H	 4	  74.0	  76.0	      98.770	  29.4	  41.7	    1.848	    1.305	    2.781	  53.1	 1.132	     C	        
202	1232	A	 11	H	 5	  74.0	  76.0	     100.270	  32.8	  48.7	    1.772	    1.192	    2.751	  56.7	 1.309	     C	        
202	1232	A	 11	H	 6	  74.0	  76.0	     101.780	  22.9	  29.7	    1.994	    1.537	    2.776	  44.6	 0.806	     C	        
202	1232	A	 11	H	 7	  20.0	  22.0	     102.750	  35.5	  55.0	    1.723	    1.112	    2.762	  59.8	 1.485	     C	        
202	1232	A	 12	H	 1	  74.0	  76.0	     103.740	  30.3	  43.4	    1.822	    1.270	    2.751	  53.8	 1.166	     C	        
202	1232	A	 12	H	 2	  74.0	  76.0	     105.250	  32.1	  47.2	    1.781	    1.209	    2.735	  55.8	 1.262	     C	        
202	1232	A	 12	H	 3	  74.0	  76.0	     106.770	  31.7	  46.4	    1.792	    1.224	    2.747	  55.4	 1.244	     C	        
